,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'ACSEINE'}),frozenset({'BOBBI BROWN'}),0.0008742142479081302,0.11546764515227385,0.00016949051745157625,0.19387755102040813,1.6790638690581297,6.85470568870583e-05,1.0972679844946476
1,frozenset({'BOBBI BROWN'}),frozenset({'ACSEINE'}),0.11546764515227385,0.0008742142479081302,0.00016949051745157625,0.0014678615574783681,1.6790638690581297,6.85470568870583e-05,1.0005945199825979
2,frozenset({'ACSEINE'}),frozenset({'CHANEL'}),0.0008742142479081302,0.11809326141384827,0.00015313616927642416,0.17517006802721086,1.4833197587230786,4.989735756649857e-05,1.069198272760118
3,frozenset({'CHANEL'}),frozenset({'ACSEINE'}),0.11809326141384827,0.0008742142479081302,0.00015313616927642416,0.0012967392672793654,1.4833197587230786,4.989735756649857e-05,1.0004230736355675
4,frozenset({'ACSEINE'}),frozenset({'CHRISTIAN DIOR'}),0.0008742142479081302,0.14266195264970175,0.00013975533895129973,0.1598639455782313,1.120578700971296,1.5038227310535426e-05,1.020475246643675
5,frozenset({'CHRISTIAN DIOR'}),frozenset({'ACSEINE'}),0.14266195264970175,0.0008742142479081302,0.00013975533895129973,0.0009796258662914908,1.1205787009712957,1.5038227310535426e-05,1.0001055149835907
6,frozenset({'ESTEE LAUDER'}),frozenset({'ACSEINE'}),0.11072191066362971,0.0008742142479081302,0.00010853340152600937,0.0009802341819744333,1.1212745437631493,1.1738729668253135e-05,1.0001061239603999
7,frozenset({'ACSEINE'}),frozenset({'ESTEE LAUDER'}),0.0008742142479081302,0.11072191066362971,0.00010853340152600937,0.12414965986394558,1.1212745437631493,1.1738729668253135e-05,1.0153311000578364
8,frozenset({'ACSEINE'}),frozenset({'KIEHLS'}),0.0008742142479081302,0.0817851217060856,0.00011299367830105085,0.1292517006802721,1.5803815900007954,4.1495959638690325e-05,1.0545123992906673
9,frozenset({'KIEHLS'}),frozenset({'ACSEINE'}),0.0817851217060856,0.0008742142479081302,0.00011299367830105085,0.0013815921031104003,1.5803815900007954,4.1495959638690325e-05,1.0005080798142614
